kode_provinsi,provinsi,kode_kabupaten_kota,kabupaten_kota,kode_kecamatan,kecamatan,kode_kelurahan_desa,kelurahan_desa,additional_info
31,DKI JAKARTA,3171,JAKARTA PUSAT,317102,SAWAH BESAR,3171021001,PASAR BARU,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""sulawesi"", ""zona_waktu"": ""WITA""}"
12,SUMATERA UTARA,1271,KOTA MEDAN,127101,MEDAN KOTA,1271011001,SUNGAI MATI,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""sulawesi"", ""zona_waktu"": ""WITA""}"
32,JAWA BARAT,3201,KAB. BOGOR,320101,CIBINONG,3201011001,CIBINONG,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
63,KALIMANTAN SELATAN,6371,KOTA BANJARMASIN,637101,BANJARMASIN TENGAH,6371011001,KERTAK HANYAR,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
73,SULAWESI SELATAN,7371,KOTA MAKASSAR,737101,MARISO,7371011001,MARISO,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
35,JAWA TIMUR,3578,KOTA SURABAYA,357801,GENTENG,3578011001,GENTENG,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
33,JAWA TENGAH,3374,KOTA SEMARANG,337401,GAJAHMUNGKUR,3374011001,GAJAHMUNGKUR,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""sulawesi"", ""zona_waktu"": ""WITA""}"
31,DKI JAKARTA,3175,JAKARTA TIMUR,317501,MATRAMAN,3175011001,PALMERIAM,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""sumatera"", ""zona_waktu"": ""WIB""}"
31,DKI JAKARTA,3174,JAKARTA SELATAN,317401,TEBET,3174011001,TEBET BARAT,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""kalimantan"", ""zona_waktu"": ""WITA""}"
33,JAWA TENGAH,3372,KOTA SURAKARTA,337201,LAWEYAN,3372011001,LAWEYAN,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""kalimantan"", ""zona_waktu"": ""WITA""}"
36,BANTEN,3674,KOTA TANGERANG SELATAN,367401,CIPUTAT,3674011001,CIPUTAT,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
32,JAWA BARAT,3273,KOTA BANDUNG,327301,LENGKONG,3273011001,CIJAGRA,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
35,JAWA TIMUR,3573,KOTA MALANG,357301,KLOJEN,3573011001,KLOJEN,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""kalimantan"", ""zona_waktu"": ""WITA""}"
31,DKI JAKARTA,3173,JAKARTA BARAT,317301,CENGKARENG,3173011001,CENGKARENG BARAT,"{""klasifikasi"": ""perdesaan"", ""pulau"": ""kalimantan"", ""zona_waktu"": ""WITA""}"
31,DKI JAKARTA,3171,JAKARTA PUSAT,317101,GAMBIR,3171011001,GAMBIR,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
34,DI YOGYAKARTA,3471,KOTA YOGYAKARTA,347101,DANUREJAN,3471011001,BAUSASRAN,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""sulawesi"", ""zona_waktu"": ""WITA""}"
36,BANTEN,3671,KOTA TANGERANG,367101,TANGERANG,3671011001,TANAH TINGGI,"{""klasifikasi"": ""perkotaan"", ""pulau"": ""jawa"", ""zona_waktu"": ""WIB""}"
